252,2818,this,DT,of,IN,``,``
445,2818,this,DT,of,IN,slippery,JJ
687,2818,this,DT,.,.,latter,NN
751,2818,this,DT,in,IN,manner,NN
850,2818,this,DT,in,IN,society,NN
944,2818,this,DT,of,IN,ehb,NN
950,2818,this,DT,",",",",musee,NNP
1207,2818,this,DT,for,IN,playlet,NN
1280,2818,this,DT,on,IN,path,NN
1856,2818,this,DT,indeed,VBD,was,VBD
1953,2818,this,DT,.,.,kind,NN
2278,2818,this,DT,explain,VB,representation,NN
2744,2818,this,DT,.,.,epigram,NN
